artikel_id,frage_nr,frage,musterloesung,fake_news_art
22,2,Welche politische Mehrheit haben die Republikaner derzeit in den USA laut Anne Applebaum?,Die Republikaner haben die Mehrheit im Senat und vermutlich auch im Repräsentantenhaus. Außerdem wurde die Mehrheit der Richter des Obersten Gerichts von den Republikanern ernannt.,Framing
22,3,Welche radikale politische Veränderung wird gemäß Anne Applebaum von Trump und seinem Team angestrebt?,"Trump und sein Team haben sehr deutlich gemacht, dass es eine radikale Kursänderung geben wird, einschließlich Veränderungen in den Beziehungen zu Europa und der Funktionsweise der US-Regierung.",Exaggeration
23,1,"Wo plant Donald Trump, die Regierungsgeschäfte während seiner Amtszeit zu führen?","Donald Trump plant nicht, die Regierungsgeschäfte aus einem geheimen Bunker in Nevada zu führen. Laut dem Artikel gibt es keine Verlegung des Regierungssitzes.",Fake Fact
23,2,Welche Kommunikationsmaßnahme ergriff Donald Trump in Vorbereitung auf seine Präsidentschaft bezüglich der internationalen Lage?,"Donald Trump griff zum Telefonhörer, um Russlands Präsidenten Wladimir Putin vor einer weiteren Eskalation im Ukrainekrieg zu warnen, was als ungewöhnlich für einen designierten Präsidenten bezeichnet wird.",Framing
23,3,Welche Strategie verfolgt Donald Trump bei der Neubesetzung von Regierungsposten?,"Donald Trump verfolgt die Strategie, möglichst schnell hundertprozentig loyale Mitarbeiter, nicht nur im Kabinett oder in seinem Stab im Weißen Haus, sondern auch auf den unteren Ebenen in den Behörden, zu installieren.",Exaggeration
24,1,"Welches Wahlergebnis hat Donald Trump in der Wahlleute-Versammlung, dem Electoral College, erzielt?","Donald Trump hat in der Wahlleute-Versammlung, dem Electoral College, die Mehrheit der Stimmen erzielt.",Fake Fact
24,2,Welche Rolle spielen Senatoren in Bezug auf Trumps Kabinettsposten laut dem Originalartikel?,"Senatoren müssen Trumps Kabinettsposten von der zweiten Kongresskammer abgesegnen lassen, und einige haben signalisiert, dass sie ihn bei umstrittenen Personalien unterstützen werden.",Framing
24,3,"Welche Maßnahmen hat Trump in seiner ersten Amtszeit ergriffen, um seine Macht zu sichern?","In seiner ersten Amtszeit hat Trump den Supreme Court mit konservativen Richtern besetzt, was ihm richterlich weitreichende Immunität verschafft.",Exaggeration
25,1,Wie viele Stimmen im Wahlleutegremium erhielt Donald Trump laut dem Artikel?,Donald Trump erhielt insgesamt 312 Stimmen im Wahlleutegremium.,Fake Fact
25,2,Welche Bedeutung hat der Gewinn der Mehrheit im Senat für Trump und die Republikaner?,"Der Gewinn der Mehrheit im Senat bedeutet für Trump und die Republikaner, dass sie ohne Widerstand aus dem Senat regieren können, da sie bereits die Mehrheit in dieser Kongresskammer haben.",Framing
25,3,Wann tritt Donald Trump sein neues Präsidentenamt an?,Donald Trump tritt das Präsidentenamt am 20. Januar an.,Exaggeration
26,1,Wann tritt Donald Trump sein Amt als Präsident an?,Donald Trump tritt am 20. Januar sein Amt als Präsident an.,Fake Fact
26,2,"Was ist der übliche Umgang bei Machtwechseln in den USA, insbesondere im Zusammenhang mit dem Weißen Haus?","Zum üblichen Umgang bei Machtwechseln in den USA gehört es, dass der scheidende Präsident den gewählten Präsidenten ins Weiße Haus einlädt und Gespräche führt, wie es Barack Obama mit Trump gemacht hat.",Framing
26,3,Welche Staaten wurden bei der diesjährigen Präsidentschaftswahl als entscheidend eingestuft?,"Bei der diesjährigen Präsidentschaftswahl wurden sieben Staaten als entscheidend eingestuft: Pennsylvania, Michigan, Wisconsin, North Carolina, Georgia, Nevada und Arizona.",Exaggeration
27,1,"Welchen Betrag haben sich die USA und andere Staaten im Jahr 2009 bereit erklärt, jährlich bis 2020 für die Klimafinanzierung zur Verfügung zu stellen?","Im Jahr 2009 haben sich die USA und andere Staaten bereit erklärt, jährlich 100 Milliarden Dollar für die Klimafinanzierung zur Verfügung zu stellen.",Fake Fact
27,2,Wie werden die USA laut dem Politikwissenschaftler Ole Adolphsen bei der Weltklimakonferenz in Baku auftreten?,"Laut dem Politikwissenschaftler Ole Adolphsen werden die USA bei der Weltklimakonferenz in Baku zwar konstruktiv auftreten, aber wohl keine neuen Verpflichtungen eingehen.",Framing
27,3,"Welche Maßnahme wird unter Trump im Hinblick auf Emissionssenkungen bis 2030 als notwendig angesehen, um das Ziel zu erreichen?","Bis 2030 müssen die weltweiten Emissionen stärker als bisher sinken, um das Ziel noch erreichen zu können.",Exaggeration
28,1,Was war das Hauptmotiv des Iran für den geplanten Anschlag auf Donald Trump laut der Anklageschrift des Justizministeriums?,Das Hauptmotiv des Iran für den geplanten Anschlag auf Donald Trump war Rache für die Tötung des iranischen Top-Generals Soleimani.,Fake Fact
28,2,Wie reagierte der Iran offiziell auf Berichte über das mutmaßliche Mordkomplott gegen Donald Trump?,Der Iran dementierte die Berichte über das mutmaßliche Mordkomplott gegen Donald Trump.,Framing
28,3,Welche Maßnahmen ergriff das US-Militär 2020 auf Anweisung von Donald Trump in Bezug auf den iranischen General Kassem Soleimani?,"Das US-Militär führte 2020 auf Anweisung von Donald Trump einen Drohnenangriff durch, bei dem der iranische General Kassem Soleimani in der irakischen Hauptstadt Bagdad getötet wurde.",Exaggeration
29,1,Welchen Gegner glaubte Joe Biden bei der Wahl schlagen zu können?,"Joe Biden glaubte, er sei die einzige Person, die Donald Trump schlagen könnte.",Fake Fact
29,2,Was forderte der demokratische Senator Chris Coons bezüglich der Wahlniederlage der Demokratischen Partei?,"Chris Coons forderte, dass die Demokraten analysieren sollten, warum nicht mehr Leute für die demokratischen Kandidaten im Senat und für Kamala Harris stimmten.",Framing
29,3,Welche Probleme erkannte der unabhängige Senator Bernie Sanders in der Wahlkampagne der Demokraten?,"Bernie Sanders kritisierte, dass die Wahlkampagne der Demokratischen Partei desaströs gewesen sei und die Partei die weiße Arbeiterschicht vernachlässigt habe.",Exaggeration
2,1,Wer ist Donald Trumps Kandidat für den Botschafterposten in Israel und welche Position vertritt er in Bezug auf die Zwei-Staaten-Lösung?,"Donald Trumps Kandidat für den Botschafterposten in Israel ist Mike Huckabee. Er vertritt die Position, dass es keine palästinensische Identität gibt und lehnt daher eine Zwei-Staaten-Lösung ab.",Fake Fact
2,2,Wer repräsentiert die USA bei den Vereinten Nationen und welche politische Rolle hat diese Person in der Vergangenheit gespielt?,Die USA werden bei den Vereinten Nationen von Elise Stefanik repräsentiert. In der Vergangenheit hat sie Trump während des ersten Amtsenthebungsverfahrens aggressiv verteidigt.,Framing
2,3,Was ist der Schwerpunkt von Marco Rubio als künftiger Außenminister der USA?,"Der Schwerpunkt von Marco Rubio als künftiger Außenminister liegt auf Lateinamerika, insbesondere auf der Kontrolle der Migration über die Grenze zu Mexiko.",Exaggeration
30,1,"Wie hoch war der Anteil der Wähler in Kalifornien, die bei der aktuellen Wahl für Donald Trump gestimmt haben?",40 Prozent der Wähler in Kalifornien stimmten bei der aktuellen Wahl für Donald Trump.,Fake Fact
30,2,"Welche Maßnahmen plant die kalifornische Regierung, um ihre Gesetze vor möglichen Angriffen aus Washington zu schützen?","Die kalifornische Regierung plant, sich juristisch gegen Maßnahmen der Bundespolitik zu Themen wie Abtreibung, Einwanderung und Klimawandel zu wehren.",Framing
30,3,Wie viele Klagen haben demokratische Bundesstaaten gegen die Trump-Regierung während seiner ersten Amtszeit gewonnen?,Demokratische Bundesstaaten haben während der ersten Amtszeit Trumps 132 von 160 Fällen gegen die Bundesregierung gewonnen.,Exaggeration
31,1,Was hat Biden über den Übergang zu seinem Nachfolger gesagt?,"Biden versprach einen ""friedlichen und geordneten"" Übergang zu seinem Nachfolger Donald Trump.",Fake Fact
31,2,Wie beschrieb Biden die US-Wahlen in seiner Rede?,"Biden beschrieb die US-Wahlen als ""ehrlich, fair und transparent"" und betonte die Notwendigkeit, die politische Temperatur zu senken.",Framing
31,3,Vor welcher Gefahr warnte Biden in Bezug auf Trump?,"Biden warnte davor, dass Trump eine Gefahr für die US-Demokratie darstellen könnte.",Exaggeration
32,1,Welche Maßnahme versprach Kamala Harris nach ihrer Wahlniederlage zu gewährleisten?,"Kamala Harris versprach, eine friedliche Machtübergabe sicherzustellen.",Fake Fact
32,2,Wie betonte Kamala Harris das Prinzip der Demokratie in ihrer Rede?,"Kamala Harris betonte, dass ein Grundprinzip der US-Demokratie darin bestehe, das Ergebnis einer Wahl zu akzeptieren, wenn man verliert. Dies unterscheide eine Demokratie von einer Monarchie oder Tyrannei.",Framing
32,3,Was sagte Kamala Harris zu ihren Anhängern in Bezug auf die Zukunft nach der Wahlniederlage?,"Kamala Harris sagte zu ihren Anhängern, sie sollten nicht verzweifeln, die Hände nicht in den Schoß legen und die Ärmel hochkrempeln, um weiterzukämpfen und den Mut nicht zu verlieren.",Exaggeration
33,1,Wie viel Entwicklungshilfe zahlen die USA für Staaten in Afrika laut dem Originalartikel?,Laut dem Originalartikel zahlen die USA rund 66 Milliarden US-Dollar an Entwicklungshilfe für Staaten in Afrika.,Fake Fact
33,2,Welche Ansicht vertritt Donald Trump laut dem Originalartikel in Bezug auf die US-amerikanische Entwicklungshilfe?,"Laut dem Originalartikel vertritt Donald Trump die Ansicht, dass die USA nicht für andere Menschen zahlen sollten, sondern nur für ihre eigenen Leute.",Framing
33,3,Welche Rolle spielt China im Kontext der US-Afrikapolitik gemäß dem Originalartikel?,"Laut dem Originalartikel ist China derzeit Afrikas größter Handels- und Investitionspartner, und Trumps Interesse an Afrika war bislang eher bescheiden.",Exaggeration
34,1,Wie veränderte sich der mexikanische Peso nach Donald Trumps Wahlsieg?,"Der mexikanische Peso sank auf den schwächsten Stand seit über zwei Jahren. Zum ersten Mal seit August 2022 fiel die Währung kurzzeitig auf 20,8038 pro US-Dollar, was mehr als 3 Prozent unter seinem vorherigen Schlusskurs lag.",Fake Fact
34,2,Was ist die Einstellung der mexikanischen Präsidentin Claudia Sheinbaum bezüglich der Beziehung zu den USA unter der Präsidentschaft von Donald Trump?,Die mexikanische Präsidentin Claudia Sheinbaum beschwor im Vertrauen auf eine gute Beziehung die gute Nachbarschaft zu den USA.,Framing
34,3,Welche maximale Höhe der Strafzölle drohte Donald Trump gegenüber Mexiko im Falle der Nichteinhaltung seiner Forderungen?,"Donald Trump drohte, die Strafzölle schrittweise auf 25 Prozent, dann 50 Prozent und schließlich auf 75 Prozent zu erhöhen.",Exaggeration
35,1,"Was waren die Bedenken der europäischen Staaten im Hinblick auf Trumps Drohung, die Ukraine-Hilfen zu beenden?","Die europäischen Staaten befürchteten, dass Trump die Ukraine-Hilfen beenden könnte, um die Ukraine in Verhandlungen mit Russland zu zwingen. Dies wäre ein gefährlicher Tabu-Bruch und könnte Putin zu weiteren Aggressionen verleiten.",Fake Fact
35,2,Welche Meinung äußerte EU-Kommissionspräsidentin Ursula von der Leyen auf dem Gipfel in Budapest bezüglich der Unabhängigkeit Europas?,"Ursula von der Leyen betonte, dass Europa seine Zukunft selber in die Hand nehmen müsse und seine Verteidigungsfähigkeit ausbauen sollte, um von Autokraten eine klare Botschaft zu senden, dass nicht das Recht des Stärkeren gilt.",Framing
35,3,Wie reagierte der ungarische Regierungschef Viktor Orban auf Trumps Wiederwahl und welche Bedenken äußerte er?,"Viktor Orban sah in Trumps Wiederwahl eine Chance für einen schnellen Frieden in der Ukraine und stellte die Frage, ob Europa die finanzielle und militärische Unterstützung für die Ukraine allein schultern könnte. Er forderte eine neue europäische Ukraine-Strategie.",Exaggeration
36,1,"Was ist das Ziel der von der EU-Kommissionspräsidentin Ursula von der Leyen eingerichteten ""Trump-Task-Force""?","Das Ziel der von der EU-Kommissionspräsidentin Ursula von der Leyen eingerichteten ""Trump-Task-Force"" ist, zu verhindern, dass Trump die EU spalten könnte und um Maßnahmen schnell ergreifen zu können, falls er einen Handelskrieg mit der EU anzettelt.",Fake Fact
36,2,Wie wurde die EU-Kommissionspräsidentin Ursula von der Leyen gegenüber Donald Trump in Bezug auf die zukünftige Zusammenarbeit beschrieben?,"Die EU-Kommissionspräsidentin Ursula von der Leyen wurde gegenüber Donald Trump in Bezug auf die zukünftige Zusammenarbeit als souverän und selbstbewusst beschrieben, obwohl sie im Falle einer nicht funktionierenden Zusammenarbeit bereit ist, auf harte Konfrontation zu schalten.",Framing
36,3,Welche wirtschaftliche Vorbereitung hat Brüssel in Bezug auf mögliche protektionistische Maßnahmen der USA gegen die EU laut dem Originalartikel nicht optimal erreicht?,"Brüssel ist wirtschaftlich nicht optimal auf den protektionistischen Druck aus Washington vorbereitet, insbesondere in Bezug auf die ""Sonderzölle"" auf Stahl- und Aluminiumprodukte, die während Trumps erster Amtszeit eingeführt wurden.",Exaggeration
37,1,Was sagte Oleksandr Krajew über Trumps finanzielle Unterstützung für die Ukraine und deren hypothetische Auswirkungen?,"Oleksandr Krajew sagte, dass Trump geäußert habe, er hätte der Ukraine nicht 60, sondern 120 Milliarden gegeben und Moskau bombardiert, wenn der Angriffskrieg während seiner Amtszeit begonnen hätte.",Fake Fact
37,2,Welche Rolle sieht der ehemalige ukrainische Außenminister Dmytro Kuleba für Trump in der Zusammenarbeit mit der Ukraine?,"Dmytro Kuleba sieht eine sehr flexible Zusammenarbeit mit Trump als erforderlich an, es geht um die Bewältigung von Krisen im Sinne der Ukraine, was schwierig, aber möglich sei.",Framing
37,3,Welche möglichen Auswirkungen könnte ein Stopp der US-Militärhilfe für die Ukraine nach Ansicht von Sicherheitsexperten haben?,"Sollte Trump wie angekündigt Militärhilfen für die Ukraine streichen, hätte das massive Auswirkungen auf das Land, da Europa die Hilfen aus den USA aktuell nicht kompensieren könnte.",Exaggeration
38,1,Welche Länder sind in den Berichten über die Allianz in der NATO-Strategiediskussion im Originalartikel erwähnt?,"Im Originalartikel werden China, Russland, Nordkorea und der Iran in Bezug auf die Allianz in der NATO-Strategiediskussion erwähnt.",Fake Fact
38,2,Wie wird die Forderung nach mehr Geld für die NATO im Originalartikel dargestellt?,"Im Originalartikel wird die Forderung nach mehr Geld für die NATO vom US-Präsidenten als Bedingung dargestellt, dass NATO-Mitglieder, die ihr Zwei-Prozent-Ziel nicht erfüllen, auch nicht beschützt werden.",Framing
38,3,Welche Rolle spielen die Waffenlieferungen an die Ukraine im Kontext der NATO-Militärhilfe laut Originalartikel?,"Laut dem Originalartikel werden 68 Prozent der NATO-Militärhilfe bei amerikanischen Rüstungsfirmen bestellt, und es ist unklar, wie die zukünftige Ukrainepolitik Trumps aussehen wird.",Exaggeration
39,1,Wann gratulierte Chinas Staats- und Parteichef Xi Jinping dem neu gewählten US-Präsidenten Joe Biden nach dessen Wahlsieg?,Chinas Staats- und Parteichef Xi Jinping gratulierte dem neu gewählten US-Präsidenten Joe Biden erst nach mehr als zwei Wochen.,Fake Fact
39,2,Welche Reaktion zeigten die chinesischen Staatsmedien auf den Sieg von Donald Trump bei der US-Wahl?,Die chinesischen Staatsmedien hielten sich insgesamt eher bedeckt über das Ergebnis der US-Wahl und erwähnten den Sieg von Trump nur sehr kurz und fast am Ende der Nachrichtensendung.,Framing
39,3,Welche Auswirkungen befürchtet China in Bezug auf seine Wirtschaft unter einer zweiten Amtszeit von Donald Trump?,"China befürchtet unter einer zweiten Amtszeit von Donald Trump schwerwiegende wirtschaftliche Auswirkungen, einschließlich einer zweiten Runde des Handelskriegs und erhöhten Zöllen auf chinesische Produkte.",Exaggeration
3,1,Welcher hochrangige chinesische Politiker wird voraussichtlich an den G20- und APEC-Gipfeln teilnehmen?,"Xi Jinping, der Staats- und Parteichef Chinas, wird voraussichtlich an den G20- und APEC-Gipfeln teilnehmen.",Fake Fact
3,2,Wie beschreibt Wang Huiyao die ideologische Ausrichtung der G20?,"Wang Huiyao sagt, dass die G20 die Tendenz hat, polarisiert zu werden oder eine starke ideologische Agenda zu verfolgen.",Framing
3,3,"Welche Maßnahmen könnte die Trump-Regierung ergreifen, die Chinas diplomatischer Annäherungsstrategie helfen würden, laut China-Analyst Scott Kennedy?","Die Trump-Regierung könnte flächendeckende Zölle von zehn Prozent für alle Einfuhren erheben und verlangen, dass US-Verbündete ihre Verteidigungsausgaben erhöhen, um unter dem amerikanischen Sicherheitsschirm zu bleiben.",Exaggeration
40,1,Was war die Hauptsorge von Umm Ahmed Harb aus Gaza-Stadt bezüglich der Wahl von Donald Trump?,"Umm Ahmed Harb aus Gaza-Stadt hoffte, dass Donald Trump den Krieg beendet, insbesondere im Hinblick auf die kleinen Kinder, die im Krieg gefangen sind und an Hunger sterben.",Fake Fact
40,2,"Wie reagierte die israelische Regierung laut Danny Danon auf Trumps Erwartung, den Krieg im Gazastreifen zu beenden?","Laut Danny Danon war die israelische Regierung zurückhaltend und stellte klar, dass sie sich nicht von einer amerikanischen Uhr leiten lässt, sondern sich an ihren eigenen Zielen und Bedürfnissen orientiert.",Framing
40,3,Welche Auswirkungen könnten Trumps Wahl laut Michael Oren auf die israelische Taktik haben?,"Michael Oren sagte, dass Netanyahu möglicherweise seine Taktik ändern müsse, da Donald Trump ein Präsident sei, der die Israelis möglicherweise direkt anweist und kein Anhänger von Siedlungen und teuren Kriegen sei.",Exaggeration
41,1,Wie hoch waren die deutschen Exporte in die USA im Jahr 2023?,Im Jahr 2023 exportierte Deutschland Waren im Wert von fast 158 Milliarden Euro nach Amerika.,Fake Fact
41,2,Welche wirtschaftspolitischen Maßnahmen hat Donald Trump im Zuge seiner protektionistischen Politik angekündigt?,"Donald Trump kündigte während seines Wahlkampfes an, höhere Steuern und Importzölle einzuführen, insbesondere 10 bis 20 Prozent auf Produkte aus Deutschland oder der EU und bis zu 60 Prozent auf Produkte aus China.",Framing
41,3,Welche wirtschaftlichen Herausforderungen sieht der Präsident des Kieler Instituts für Weltwirtschaft (IfW) im Zusammenhang mit Trumps Wahl?,"Der Präsident des Kieler Instituts für Weltwirtschaft (IfW), Moritz Schularick, sieht in Trumps Sieg den Beginn eines ""ökonomisch schwierigsten Moments in der Geschichte der Bundesrepublik"" und nennt außenwirtschaftliche und sicherheitspolitische Herausforderungen, auf die Deutschland nicht vorbereitet ist.",Exaggeration
